년월,평균기온(℃)
2012년 1월,-1.2
2012년 2월,-0.8
2012년 3월,5.7
2012년 4월,12.6
2012년 5월,18.3
2012년 6월,22.1
2012년 7월,25.5
2012년 8월,26.4
2012년 9월,20.2
2012년 10월,14.3
2012년 11월,6.6
2012년 12월,-1.7
2013년 1월,-2.1
2013년 2월,0.7
2013년 3월,6.6
2013년 4월,10.3
2013년 5월,17.8
2013년 6월,22.6
2013년 7월,26.3
2013년 8월,27.3
2013년 9월,21.2
2013년 10월,15.4
2013년 11월,7.1
2013년 12월,1.5
2014년 1월,0.5
2014년 2월,2.5
2014년 3월,7.7
2014년 4월,13.4
2014년 5월,18.4
2014년 6월,21.9
2014년 7월,25.1
2014년 8월,23.8
2014년 9월,20.9
2014년 10월,14.8
2014년 11월,8.8
2014년 12월,-0.5
2015년 1월,0.5
2015년 2월,2
2015년 3월,6.7
2015년 4월,12.7
2015년 5월,18.6
2015년 6월,21.7
2015년 7월,24.4
2015년 8월,25.2
2015년 9월,20.5
2015년 10월,15
2015년 11월,10.1
2015년 12월,3.5
2016년 1월,-0.9
2016년 2월,1.7
2016년 3월,7.2
2016년 4월,13.8
2016년 5월,18.6
2016년 6월,22.3
2016년 7월,25.4
2016년 8월,26.7
2016년 9월,21.6
2016년 10월,15.8
2016년 11월,7.8
2016년 12월,3.1
2017년 1월,0.1
2017년 2월,1.6
2017년 3월,6.3
2017년 4월,13.9
2017년 5월,18.7
2017년 6월,21.8
2017년 7월,26.4
2017년 8월,25.4
2017년 9월,20.6
2017년 10월,15.3
2017년 11월,6.8
2017년 12월,-0.1
2018년 1월,-2
2018년 2월,-0.2
2018년 3월,8.1
2018년 4월,13.3
2018년 5월,17.8
2018년 6월,22.2
2018년 7월,26.8
2018년 8월,27.3
2018년 9월,20.4
2018년 10월,13
2018년 11월,8.1
2018년 12월,1.1
2019년 1월,0.3
2019년 2월,2.4
2019년 3월,7.5
2019년 4월,12
2019년 5월,18.6
2019년 6월,21.3
2019년 7월,24.8
2019년 8월,26.2
2019년 9월,21.8
2019년 10월,15.8
2019년 11월,8.8
2019년 12월,2.8
2020년 1월,2.8
2020년 2월,3.6
2020년 3월,7.9
2020년 4월,10.9
2020년 5월,17.7
2020년 6월,22.8
2020년 7월,22.7
2020년 8월,26.6
2020년 9월,20.3
2020년 10월,14
2020년 11월,8.8
2020년 12월,0.7
