년월,전체 전력 사용량 (MWh),산업용 전력 사용량 (MWh),월평균기온
2015년 1월,49548,18121,0.5
2015년 2월,47999,17370,2
2015년 3월,43412,17593,6.7
2015년 4월,40314,18176,12.7
2015년 5월,35171,17070,18.6
2015년 6월,35173,17715,21.7
2015년 7월,34011,16677,24.4
2015년 8월,37130,15735,25.2
2015년 9월,36863,17211,20.5
2015년 10월,34649,17062,15
2015년 11월,39319,17511,10.1
2015년 12월,42644,18460,3.5
2016년 1월,48254,18422,-0.9
2016년 2월,50030,17831,1.7
2016년 3월,44122,17848,7.2
2016년 4월,40256,17864,13.8
2016년 5월,35642,17405,18.6
2016년 6월,35895,18066,22.3
2016년 7월,36855,18156,25.4
2016년 8월,40298,16763,26.7
2016년 9월,39252,17688,21.6
2016년 10월,35580,17263,15.8
2016년 11월,40547,18014,7.8
2016년 12월,44284,18242,3.1
2017년 1월,49311,18336,0.1
2017년 2월,50218,17447,1.6
2017년 3월,44027,17312,6.3
2017년 4월,41569,18020,13.9
2017년 5월,36228,17570,18.7
2017년 6월,35891,17356,21.8
2017년 7월,38032,18223,26.4
2017년 8월,42119,17608,25.4
2017년 9월,40376,18303,20.6
2017년 10월,35333,15920,15.3
2017년 11월,42703,18438,6.8
2017년 12월,45299,15678,-0.1
2018년 1월,48960,14218,-2
2018년 2월,51700,14747,-0.2
2018년 3월,45438,17541,8.1
2018년 4월,41988,17749,13.3
2018년 5월,38912,17431,17.8
2018년 6월,39337,17287,22.2
2018년 7월,40462,17238,26.8
2018년 8월,46223,16186,27.3
2018년 9월,41833,16536,20.4
2018년 10월,37734,16729,13
2018년 11월,43907,18018,8.1
2018년 12월,45569,17800,1.1
