번호,상위기관,기관명,데이터센터명,설립연도,운영형태,위치
1,고용노동부,근로복지공단,근로복지공단 정보화본부 전산실(서울),1995,혼합운영,서울특별시 영등포구
2,고용노동부,노사발전재단,노사발전재단 세종IDC,2015,혼합운영,경기도 용인시
3,고용노동부,한국고용정보원,한국고용정보원 전산실,2014,혼합운영,충청북도 음성군
4,과학기술정보통신부,한국생명공학연구원,통합전산센터,2009,자체운영,대전광역시 유성구
5,과학기술정보통신부,기초과학연구원,기초과학연구원 본원 데이터센터,2017,혼합운영,대전광역시 유성구
6,국토교통부,한국도로공사,ICT운영센터(동탄),2014,자가운영,경기도 화성시
7,국토교통부,한국철도공사,통합전산센터,2005,혼합운영,대전광역시 동구
8,국토교통부,인천국제공항공사,서버실-1,2017,위탁운영,인천광역시 중구
9,국토교통부,주택관리공단(주),주택관리공단 서버실,2020,혼합운영,경상남도 진주시
10,국토교통부,코레일관광개발(주),SK IDC 서초1센터,2005,혼합운영,서울특별시 서초구
11,금융위원회,중소기업은행,중소기업은행 수지IT센터,2005,혼합운영,경기도 용인시 수지구
12,금융위원회,한국산업은행,디지털스퀘어,2019,혼합운영,경기도 하남시
13,금융위원회,한국자산관리공사,정보시스템실 시스템팀,2015,자체운영,부산광역시 남구
14,금융위원회,한국주택금융공사,한국주택금융공사 상암IT센터,2017,혼합운영,서울특별시 마포구
15,금융위원회,한국예탁결제원,한국예탁결제원 일산전산센터,2020,자체운영,경기도 고양시
16,기상청,(재)APEC기후센터,APEC기후센터 전산실,2005,혼합운영,부산광역시 해운대구
17,기획재정부,한국조폐공사,성과관리처 경영정보팀,2007,혼합운영,대전광역시 유성구
18,농촌진흥청,국립원예특작과학원,정보통신실,2015,위탁운영,전라북도 완주군
19,법무부,인천공항출입국·외국인청,T1 전산실,2001,위탁운영,인천광역시 중구
20,법무부,인천공항출입국·외국인청,T2 전산실,2017,위탁운영,인천광역시 중구
21,보건복지부,국민건강보험공단,국민건강보험공단 데이터센터,2016,혼합운영,강원도 원주시
22,보건복지부,건강보험심사평가원,"건강보험심사평가원 ICT센터
(2사옥)",2022,혼합운영,강원도 원주시
23,보건복지부,건강보험심사평가원,"건강보험심사평가원 ICT센터
(1사옥)",2015,혼합운영,강원도 원주시
24,보건복지부,국민연금공단,ICT센터 정보통신실,2015,혼합운영,전주시 덕진구
25,보건복지부,한국사회보장정보원,한국사회보장정보원 데이터센터,2021,자체운영,서울특별시 광진구
26,산업통상자원부,한국수력원자력(주),메인데이터센터(경주),2016,위탁운영,경상북도 경주시
27,산업통상자원부,한국전기안전공사,한국전기안전공사 정보시스템실,1990,혼합운영,전라북도 완주군
28,산업통상자원부,한국전력공사,전력 ICT 나주 센터,2014,혼합운영,전라남도 나주시
29,여성가족부,한국여성인권진흥원,SK분당IDC,2019,자체운영,경기도 성남시
30,원자력안전위원회,한국원자력안전재단,한국원자력안전재단 전산실,2008,혼합운영,서울특별시 마포구
31,행정안전부,국가정보자원관리원,국가정보자원관리원 대전센터,2005,혼합운영,대전광역시 유성구
32,행정안전부,국가정보자원관리원,국가정보자원관리원 광주센터,2007,혼합운영,광주광역시 서구
33,행정안전부,한국지역정보개발원,지역정보통합센터,2016,혼합운영,서울특별시 마포구
34,서울특별시,서울특별시,데이터센터,2004,자체운영,서울특별시 서초구
35,서울특별시,서울특별시,클라우드센터,2016,혼합운영,서울특별시 마포구
36,서울특별시,마포구시설관리공단,호스트웨이 IDC센터,2000,자체운영,경기도 성남시
37,인천광역시,인천광역시,인천데이터센터,2011,혼합운영,인천광역시 남동구
38,인천광역시,인천문화재단,㈜퍼플스톤즈 IDC 보라매센터,2001,위탁운영,서울특별시 동작구
39,부산광역시,부산광역시,부산데이터센터(BDC),1998,혼합운영,부산광역시 연제구
40,대전광역시,대전광역시,지역정보통합센터,2014,혼합운영,대전광역시 유성구
41,대구광역시,대구광역시,통합전산센터,1989,혼합운영,대구광역시 수성구
42,대구광역시,대구달성군시설관리공단,KT IDC센터,2001,위탁운영,대구광역시 남구
43,경기도,경기도,경기도청 전산실,1989,자체운영,경기도 수원시
44,경기도,수원시,도시안전통합센터 정보통신실,2012,혼합운영,경기도 수원시
45,충청남도,충청남도,충청남도 통합정보센터,2012,혼합운영,충남 홍성군
46,충청남도,천안시,천안아산 도시통합운영센터,2018,자체운영,충남 천안시
47,전라남도,목포시,목포시 전산실,1995,혼합운영,전라남도 목포시
48,경상북도,경상북도,"종합데이터센터, 정보통신망운영센터",2016,혼합운영,경상북도 안동시
