연도,지자체,상수도 사용량
2019,강원 강릉시,571816
2017,강원 강릉시,528128
2018,강원 강릉시,564605
2019,강원 고성군,380045
2018,강원 고성군,321917
2017,강원 고성군,284361
2017,강원 동해시,142025
2019,강원 동해시,139345
2018,강원 동해시,145132
2019,강원 삼척시,256706
2017,강원 삼척시,147459
2018,강원 삼척시,214415
2019,강원 속초시,167386
2017,강원 속초시,179948
2018,강원 속초시,153044
2019,강원 양구군,53356
2017,강원 양구군,51059
2018,강원 양구군,52739
2018,강원 양양군,14822
2017,강원 양양군,11148
2019,강원 양양군,15597
2018,강원 영월군,33632
2017,강원 영월군,31608
2019,강원 영월군,34217
2018,강원 원주시,1322167
2017,강원 원주시,1211750
2019,강원 원주시,1390041
2019,강원 인제군,255283
2018,강원 인제군,17144
2017,강원 인제군,10473
2019,강원 정선군,9953
2018,강원 정선군,11857
2017,강원 정선군,8446
2018,강원 철원군,77663
2017,강원 철원군,72699
2019,강원 철원군,77799
2019,강원 춘천시,581704
2018,강원 춘천시,585977
2017,강원 춘천시,563910
2019,강원 태백시,110398
2017,강원 태백시,83141
2018,강원 태백시,96803
2019,강원 평창군,10850
2018,강원 평창군,9942
2017,강원 평창군,6028
2019,강원 홍천군,88826
2018,강원 홍천군,83266
2017,강원 홍천군,74580
2018,강원 화천군,18983
2017,강원 화천군,15630
2019,강원 화천군,19878
2018,강원 횡성군,98674
2017,강원 횡성군,97927
2019,강원 횡성군,98881
2019,경기 가평군,53301.2
2018,경기 가평군,46989
2017,경기 가평군,41465
2018,경기 고양시,3334651.19
2017,경기 고양시,3104854.9
2019,경기 고양시,3373611.53
2019,경기 과천시,452664
2017,경기 과천시,419443
2018,경기 과천시,426168
2019,경기 광명시,751675
2017,경기 광명시,1099935
2018,경기 광명시,1062071
2017,경기 광주시,654787
2019,경기 광주시,447243
2018,경기 광주시,436308.99
2019,경기 구리시,392825.49
2017,경기 구리시,251701
2018,경기 구리시,420232.53
2019,경기 군포시,378002
2018,경기 군포시,505383
2017,경기 군포시,431396
2018,경기 김포시,813582.18
2017,경기 김포시,690796.6
2019,경기 김포시,837998.31
2018,경기 남양주시,1352298.6
2017,경기 남양주시,1260538.4
2019,경기 남양주시,1404754.4
2019,경기 동두천시,257227
2017,경기 동두천시,229572
2018,경기 동두천시,243125
2018,경기 부천시,1886777.79
2017,경기 부천시,2604972.2
2019,경기 부천시,1574510.062
2019,경기 성남시,2602070.34
2017,경기 성남시,3906501.649
2018,경기 성남시,3273993.4
2019,경기 수원시,7544601.34
2017,경기 수원시,6497003.93
2018,경기 수원시,6910633.42
2018,경기 시흥시,908927.99
2017,경기 시흥시,1353700.72
2019,경기 시흥시,685528.2
2017,경기 안산시,7288886.4
2019,경기 안산시,6410437
2018,경기 안산시,6223619.97
2019,경기 안성시,386560
2017,경기 안성시,407022
2018,경기 안성시,409352
2019,경기 안양시,1798336
2017,경기 안양시,1977592
2018,경기 안양시,1686495
2018,경기 양주시,440813.33
2017,경기 양주시,495966.46
2019,경기 양주시,371970
2019,경기 양평군,134897
2018,경기 양평군,148007
2017,경기 양평군,147412
2019,경기 여주시,200548
2017,경기 여주시,146094
2018,경기 여주시,179359
2018,경기 연천군,13254
2017,경기 연천군,9015
2019,경기 연천군,13515
2019,경기 오산시,734803
2018,경기 오산시,682229.7
2017,경기 오산시,638284
2018,경기 용인시,2338841.97
2017,경기 용인시,2238551.538
2019,경기 용인시,2491973.7
2019,경기 의왕시,401127
2017,경기 의왕시,362879
2018,경기 의왕시,351260
2018,경기 의정부시,821872.81
2017,경기 의정부시,1706110
2019,경기 의정부시,980602.31
2019,경기 이천시,862462
2017,경기 이천시,942687
2018,경기 이천시,841547
2019,경기 파주시,3901390.98
2018,경기 파주시,3850558.54
2017,경기 파주시,4515303.696
2019,경기 평택시,384034.4
2018,경기 평택시,344328.7
2017,경기 평택시,289484.5
